area_code,type,diocese,sa_2022_code,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",047014001,8,3,3,2,3,10,0,6,7,8,6,9,11,6,6,8,6,7,3,4,21,12,16,20,35,31,34,20,17,16,15,13,8,7
047034002,ROI small area,"Cork, Cloyne and Ross",047034002,2,2,6,5,5,3,5,3,3,4,2,7,3,2,8,9,8,5,6,4,24,17,11,16,17,38,30,25,26,13,23,11,5,1
047056001,ROI small area,"Cork, Cloyne and Ross",047056001,4,3,1,4,2,6,4,8,6,4,3,7,9,2,3,8,6,7,8,6,18,17,9,18,30,26,24,34,26,10,18,11,5,5
047300001,ROI small area,"Cork, Cloyne and Ross",047300001,6,2,2,2,2,2,5,4,2,4,4,4,4,4,2,3,3,7,2,9,9,7,16,14,17,16,25,20,16,12,20,9,9,10
067162001,ROI small area,"Tuam, Limerick and Killaloe",067162001,1,1,1,0,1,1,2,1,1,1,2,2,1,2,0,0,1,2,1,2,6,9,9,7,4,11,13,8,17,2,10,7,3,3
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",067078001/067078002,1,6,0,4,2,3,0,2,1,2,1,2,0,0,1,7,72,2,2,3,14,14,12,14,8,8,14,14,16,14,19,8,4,2
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",157041002/157041004/157041003/157041001/157129002/157129001,2,1,0,0,1,0,2,2,2,0,5,1,1,6,2,1,2,5,1,1,15,8,9,7,15,13,13,11,13,7,6,0,4,3
067069001,ROI small area,"Tuam, Limerick and Killaloe",067069001,3,2,4,2,1,2,3,3,2,4,3,4,5,4,3,4,2,2,6,2,8,4,5,15,16,16,19,10,16,19,24,16,2,5
157128002,ROI small area,"Tuam, Limerick and Killaloe",157128002,0,0,2,1,1,1,0,0,0,1,0,1,2,0,1,0,1,0,0,1,4,4,5,9,4,6,6,13,6,13,4,10,6,2
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",157077001/157077002,0,0,0,0,1,0,2,1,1,2,4,3,5,1,2,1,1,3,0,0,6,8,9,1,3,8,15,9,5,3,5,9,1,3
157050001,ROI small area,"Tuam, Limerick and Killaloe",157050001,1,1,1,1,2,2,6,2,1,1,5,3,2,2,4,2,4,3,1,4,12,7,6,9,16,13,10,15,14,10,16,8,3,7
157004001,ROI small area,"Tuam, Limerick and Killaloe",157004001,3,1,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,4,7,9,7,4,4,9,7,14,12,9,5,1,5
157060003,ROI small area,"Tuam, Limerick and Killaloe",157060003,1,3,4,3,1,4,2,3,2,2,1,1,2,2,0,1,1,0,1,4,3,8,4,15,10,9,14,9,5,13,11,7,6,3
157100002,ROI small area,"Tuam, Limerick and Killaloe",157100002,4,5,4,6,5,4,8,9,8,6,10,5,4,5,10,4,5,5,7,6,17,17,24,28,21,34,24,23,27,10,18,11,1,3
157083001,ROI small area,"Tuam, Limerick and Killaloe",157083001,2,4,2,2,2,2,0,6,5,6,2,2,2,4,5,1,5,0,4,1,9,13,14,7,20,15,22,15,20,20,16,14,8,7
067069002,ROI small area,"Tuam, Limerick and Killaloe",067069002,2,1,1,0,2,1,1,1,3,0,2,1,0,2,2,2,0,3,3,1,6,4,3,8,8,11,11,9,13,11,16,8,10,3
157029001,ROI small area,"Tuam, Limerick and Killaloe",157029001,4,2,3,3,4,6,3,4,6,3,4,3,3,2,2,4,2,2,3,4,7,6,15,17,17,13,15,11,20,12,20,7,5,6
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",157007001/157007005,1,2,0,1,2,2,3,1,3,1,3,3,0,6,0,2,1,2,3,1,8,3,6,6,7,8,15,11,10,13,5,5,4,4
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",157024001/157024004,5,2,4,2,2,2,3,4,1,1,2,2,1,2,1,3,1,2,5,3,9,8,8,14,13,6,7,11,12,11,8,11,3,1
157040001,ROI small area,"Tuam, Limerick and Killaloe",157040001,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,4,5,1,3,1,4,1,6,5,14,8,4,6,3
157114001,ROI small area,"Tuam, Limerick and Killaloe",157114001,1,0,0,1,0,1,0,1,1,0,1,2,2,1,1,2,1,0,1,0,7,5,5,2,5,7,12,6,16,12,5,6,7,3
157071001,ROI small area,"Tuam, Limerick and Killaloe",157071001,2,2,3,3,5,5,3,1,2,2,1,3,4,0,2,1,0,3,1,0,10,7,10,17,13,10,13,15,24,9,12,9,4,6
157080001,ROI small area,"Tuam, Limerick and Killaloe",157080001,1,3,0,1,2,1,1,1,2,0,3,1,2,1,2,2,4,2,5,2,14,8,5,11,14,14,9,27,17,18,15,12,4,5
157032001,ROI small area,"Tuam, Limerick and Killaloe",157032001,1,0,0,2,1,1,0,1,0,0,1,1,2,2,0,1,2,1,0,1,2,4,2,6,7,4,13,2,13,10,7,6,4,2
157034001/157034002,ROI small area,"Tuam, Limerick and Killaloe",157034001/157034002,0,0,2,0,0,1,0,2,3,0,0,0,3,1,1,1,1,2,1,0,2,6,7,6,7,10,7,16,20,15,21,10,0,5
157082001/157136001,ROI small area,"Tuam, Limerick and Killaloe",157082001/157136001,0,2,1,1,0,0,1,1,1,3,0,1,2,0,0,0,0,1,0,2,5,4,3,4,2,6,5,7,9,8,9,5,2,2
077154001/077154002,ROI small area,"Tuam, Limerick and Killaloe",077154001/077154002,0,0,2,1,3,4,1,4,4,2,2,1,3,3,5,3,2,3,3,2,5,6,3,9,16,16,9,9,16,17,8,7,4,2
077011001,ROI small area,"Tuam, Limerick and Killaloe",077011001,1,1,0,0,0,2,1,1,1,1,2,0,0,1,0,2,2,0,1,1,5,8,9,4,3,8,11,12,10,10,10,5,3,6
077073001/077073002,ROI small area,"Tuam, Limerick and Killaloe",077073001/077073002,0,1,1,3,2,1,4,2,0,3,0,3,0,0,2,2,1,2,2,1,1,3,4,12,7,7,12,6,13,8,8,10,3,1
047188005,ROI small area,"Cork, Cloyne and Ross",047188005,3,1,3,1,1,2,2,0,2,4,3,4,6,3,4,5,2,3,3,3,5,8,5,3,14,9,13,19,18,9,6,9,5,8
047004002/047004006,ROI small area,"Cork, Cloyne and Ross",047004002/047004006,1,1,1,2,2,4,1,2,3,2,1,5,2,3,3,1,1,4,0,0,2,5,7,10,16,18,10,8,14,13,12,11,4,5
047002001/047002006,ROI small area,"Cork, Cloyne and Ross",047002001/047002006,1,1,2,0,0,1,0,3,2,0,5,2,2,2,2,4,3,1,2,2,5,3,6,9,15,10,13,12,14,8,10,8,1,0
047041005/047041001/047041004/047041002/047041003/047319001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047251001,ROI small area,"Cork, Cloyne and Ross",047251001,5,3,1,5,1,2,3,1,7,2,2,3,3,7,0,10,3,6,5,3,13,6,18,14,15,17,16,19,10,10,14,9,5,2
047181001,ROI small area,"Cork, Cloyne and Ross",047181001,1,6,4,5,3,1,7,4,4,5,3,4,4,7,2,2,4,2,6,2,5,9,14,16,14,21,16,18,9,5,4,13,5,1
047177001,ROI small area,"Cork, Cloyne and Ross",047177001,7,4,2,7,2,6,4,4,1,5,3,2,3,1,7,4,5,1,1,5,16,20,14,21,15,16,12,17,27,27,11,14,4,3
077042002/077042003/077042004,ROI small area,"Tuam, Limerick and Killaloe",077042002/077042003/077042004,3,0,2,2,1,2,0,4,2,3,0,3,2,1,2,2,2,1,2,0,2,4,6,7,11,11,11,12,13,15,7,10,4,4
077042001,ROI small area,"Tuam, Limerick and Killaloe",077042001,0,1,3,2,2,1,2,1,1,2,2,0,3,2,5,2,2,4,2,3,10,5,6,5,9,9,13,21,17,21,19,15,6,3
077156001/077156002/077156003,ROI small area,"Tuam, Limerick and Killaloe",077156001/077156002/077156003,2,1,3,1,0,7,4,2,2,2,0,3,1,3,2,4,2,3,2,1,6,5,8,17,12,11,12,18,25,24,20,20,14,2
077009001,ROI small area,"Tuam, Limerick and Killaloe",077009001,1,2,4,2,1,0,4,2,1,4,2,2,3,1,6,0,4,2,2,2,7,8,15,9,12,16,9,13,19,10,15,11,3,4
077037001/077133001,ROI small area,"Tuam, Limerick and Killaloe",077037001/077133001,0,2,0,0,3,1,0,3,2,5,0,2,4,4,5,4,3,6,4,4,7,6,3,11,15,16,13,14,25,20,15,17,8,3
077064001,ROI small area,"Tuam, Limerick and Killaloe",077064001,1,3,4,2,1,1,3,4,1,4,1,3,3,4,6,4,1,5,2,1,5,3,5,8,18,14,11,11,10,10,21,16,6,6
077153005,ROI small area,"Tuam, Limerick and Killaloe",077153005,1,2,1,2,0,2,2,0,1,2,1,4,1,2,1,0,0,7,2,1,12,8,6,7,7,14,22,14,11,19,18,9,2,0
077026001,ROI small area,"Cork, Cloyne and Ross",077026001,3,5,5,2,4,6,5,4,3,5,3,9,4,7,2,3,4,2,5,0,9,9,9,18,21,18,21,16,17,17,15,11,3,2
077130001,ROI small area,"Tuam, Limerick and Killaloe",077130001,1,1,0,1,0,1,1,0,1,0,1,2,1,2,0,4,5,2,0,1,6,6,7,10,4,9,12,9,9,13,9,10,5,3
077084001,ROI small area,"Tuam, Limerick and Killaloe",077084001,2,1,0,1,1,1,0,1,0,0,2,4,2,2,0,2,3,2,1,3,11,8,8,7,8,9,18,13,8,14,8,5,5,2
077149001/077149002,ROI small area,"Tuam, Limerick and Killaloe",077149001/077149002,3,0,4,1,3,2,3,2,4,1,3,1,3,2,0,4,0,1,0,1,7,5,12,12,14,12,12,10,12,12,7,7,7,5
077038001,ROI small area,"Tuam, Limerick and Killaloe",077038001,3,0,4,3,1,5,0,4,4,6,5,3,4,4,3,3,1,3,2,2,7,8,5,15,26,26,7,8,13,7,13,12,3,2
077097001,ROI small area,"Tuam, Limerick and Killaloe",077097001,3,1,2,2,3,0,1,1,2,4,1,5,5,2,3,3,1,1,1,2,12,6,14,16,19,23,21,17,8,13,12,6,7,0
077141001,ROI small area,"Tuam, Limerick and Killaloe",077141001,0,4,2,2,1,2,3,1,1,5,4,3,1,5,3,6,1,3,2,1,11,10,21,18,13,17,11,18,22,18,19,11,11,0
077077001,ROI small area,"Tuam, Limerick and Killaloe",077077001,1,1,2,4,1,3,2,5,2,3,4,7,3,8,1,6,7,6,4,2,15,7,8,13,15,21,21,24,11,11,7,12,3,1
077077002,ROI small area,"Tuam, Limerick and Killaloe",077077002,1,0,1,0,3,1,3,3,3,2,1,4,3,1,4,3,5,3,1,2,3,8,6,8,12,13,9,22,15,15,7,12,6,5
077016001,ROI small area,"Tuam, Limerick and Killaloe",077016001,2,2,0,2,0,2,1,3,2,2,1,3,4,0,0,1,0,0,1,0,6,4,10,5,6,10,4,11,12,17,16,5,3,1
077062001,ROI small area,"Tuam, Limerick and Killaloe",077062001,3,0,7,5,4,8,3,3,2,2,3,5,2,4,2,3,1,1,2,1,5,5,15,20,19,18,5,4,11,13,15,7,2,1
