area_code,type,diocese,sa_2022_code,african_caribbean_black,asian,other,white
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",047014001,0,0,1,362
047034002,ROI small area,"Cork, Cloyne and Ross",047034002,0,0,2,317
047056001,ROI small area,"Cork, Cloyne and Ross",047056001,0,3,4,329
047300001,ROI small area,"Cork, Cloyne and Ross",047300001,0,1,0,264
067162001,ROI small area,"Tuam, Limerick and Killaloe",067162001,0,1,1,126
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",067078001/067078002,1,0,2,252
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",157041002/157041004/157041003/157041001/157129002/157129001,0,1,1,142
067069001,ROI small area,"Tuam, Limerick and Killaloe",067069001,0,0,0,231
157128002,ROI small area,"Tuam, Limerick and Killaloe",157128002,0,0,0,99
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",157077001/157077002,1,0,4,99
157050001,ROI small area,"Tuam, Limerick and Killaloe",157050001,0,0,1,187
157004001,ROI small area,"Tuam, Limerick and Killaloe",157004001,0,0,0,107
157060003,ROI small area,"Tuam, Limerick and Killaloe",157060003,0,1,0,147
157100002,ROI small area,"Tuam, Limerick and Killaloe",157100002,0,6,0,365
157083001,ROI small area,"Tuam, Limerick and Killaloe",157083001,0,0,6,237
067069002,ROI small area,"Tuam, Limerick and Killaloe",067069002,0,0,0,142
157029001,ROI small area,"Tuam, Limerick and Killaloe",157029001,0,0,3,219
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",157007001/157007005,0,0,0,131
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",157024001/157024004,0,0,0,165
157040001,ROI small area,"Tuam, Limerick and Killaloe",157040001,0,0,0,71
157114001,ROI small area,"Tuam, Limerick and Killaloe",157114001,0,0,4,106
157071001,ROI small area,"Tuam, Limerick and Killaloe",157071001,0,0,0,188
157080001,ROI small area,"Tuam, Limerick and Killaloe",157080001,0,0,0,199
157032001,ROI small area,"Tuam, Limerick and Killaloe",157032001,0,0,0,92
157034001/157034002,ROI small area,"Tuam, Limerick and Killaloe",157034001/157034002,0,0,2,137
157082001/157136001,ROI small area,"Tuam, Limerick and Killaloe",157082001/157136001,0,0,1,82
077154001/077154002,ROI small area,"Tuam, Limerick and Killaloe",077154001/077154002,1,0,0,166
077011001,ROI small area,"Tuam, Limerick and Killaloe",077011001,0,0,0,108
077073001/077073002,ROI small area,"Tuam, Limerick and Killaloe",077073001/077073002,0,0,0,115
047188005,ROI small area,"Cork, Cloyne and Ross",047188005,0,0,1,180
047004002/047004006,ROI small area,"Cork, Cloyne and Ross",047004002/047004006,0,2,2,140
047002001/047002006,ROI small area,"Cork, Cloyne and Ross",047002001/047002006,0,0,1,142
047041005/047041001/047041004/047041002/047041003/047319001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047251001,ROI small area,"Cork, Cloyne and Ross",047251001,0,0,0,227
047181001,ROI small area,"Cork, Cloyne and Ross",047181001,2,4,3,208
047177001,ROI small area,"Cork, Cloyne and Ross",047177001,0,0,0,284
077042002/077042003/077042004,ROI small area,"Tuam, Limerick and Killaloe",077042002/077042003/077042004,0,0,0,146
077042001,ROI small area,"Tuam, Limerick and Killaloe",077042001,0,1,0,174
077156001/077156002/077156003,ROI small area,"Tuam, Limerick and Killaloe",077156001/077156002/077156003,0,1,4,204
077009001,ROI small area,"Tuam, Limerick and Killaloe",077009001,0,1,2,192
077037001/077133001,ROI small area,"Tuam, Limerick and Killaloe",077037001/077133001,0,5,0,204
077064001,ROI small area,"Tuam, Limerick and Killaloe",077064001,1,0,0,183
077153005,ROI small area,"Tuam, Limerick and Killaloe",077153005,0,1,3,160
077026001,ROI small area,"Cork, Cloyne and Ross",077026001,1,1,3,248
077130001,ROI small area,"Tuam, Limerick and Killaloe",077130001,0,0,0,133
077084001,ROI small area,"Tuam, Limerick and Killaloe",077084001,0,1,2,135
077149001/077149002,ROI small area,"Tuam, Limerick and Killaloe",077149001/077149002,0,0,1,167
077038001,ROI small area,"Tuam, Limerick and Killaloe",077038001,0,0,1,202
077097001,ROI small area,"Tuam, Limerick and Killaloe",077097001,0,4,1,194
077141001,ROI small area,"Tuam, Limerick and Killaloe",077141001,0,5,1,192
077077001,ROI small area,"Tuam, Limerick and Killaloe",077077001,0,1,3,226
077077002,ROI small area,"Tuam, Limerick and Killaloe",077077002,0,0,5,179
077016001,ROI small area,"Tuam, Limerick and Killaloe",077016001,0,0,1,122
077062001,ROI small area,"Tuam, Limerick and Killaloe",077062001,0,2,5,184
077095001,ROI small area,"Tuam, Limerick and Killaloe",077095001,0,1,3,257
077056001,ROI small area,"Tuam, Limerick and Killaloe",077056001,0,0,2,296
077110001,ROI small area,"Tuam, Limerick and Killaloe",077110001,0,0,0,295
047167001,ROI small area,"Cork, Cloyne and Ross",047167001,2,0,2,210
077052001,ROI small area,"Tuam, Limerick and Killaloe",077052001,5,0,2,106
047272001,ROI small area,"Cork, Cloyne and Ross",047272001,0,1,2,297
047182002,ROI small area,"Cork, Cloyne and Ross",047182002,0,2,0,298
047182001,ROI small area,"Cork, Cloyne and Ross",047182001,1,1,3,217
047193002,ROI small area,"Cork, Cloyne and Ross",047193002,0,0,0,285
047062002,ROI small area,"Cork, Cloyne and Ross",047062002,0,0,1,231
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,0,0,0,272
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,0,4,0,327
