area_code,type,diocese,very_good,good,fair,bad,very_bad,not_stated
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",236,96,27,2,2,18
047034002,ROI small area,"Cork, Cloyne and Ross",204,99,22,1,1,22
047056001,ROI small area,"Cork, Cloyne and Ross",202,111,21,4,0,14
047300001,ROI small area,"Cork, Cloyne and Ross",148,92,24,4,1,4
067162001,ROI small area,"Tuam, Limerick and Killaloe",71,40,17,1,0,3
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",150,89,22,1,0,10
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",106,44,7,1,0,1
067069001,ROI small area,"Tuam, Limerick and Killaloe",121,89,23,1,0,2
157128002,ROI small area,"Tuam, Limerick and Killaloe",45,36,15,1,1,6
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",61,31,8,2,0,10
157050001,ROI small area,"Tuam, Limerick and Killaloe",111,57,21,2,1,2
157004001,ROI small area,"Tuam, Limerick and Killaloe",50,34,19,3,1,3
157060003,ROI small area,"Tuam, Limerick and Killaloe",68,49,28,5,1,4
157100002,ROI small area,"Tuam, Limerick and Killaloe",206,115,40,9,1,7
157083001,ROI small area,"Tuam, Limerick and Killaloe",125,90,32,4,0,6
067069002,ROI small area,"Tuam, Limerick and Killaloe",68,57,17,2,2,3
157029001,ROI small area,"Tuam, Limerick and Killaloe",123,71,23,6,0,15
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",69,44,13,6,0,10
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",92,51,16,5,2,4
157040001,ROI small area,"Tuam, Limerick and Killaloe",21,34,14,0,0,2
157114001,ROI small area,"Tuam, Limerick and Killaloe",49,40,15,3,0,7
157071001,ROI small area,"Tuam, Limerick and Killaloe",85,81,26,2,0,8
157080001,ROI small area,"Tuam, Limerick and Killaloe",93,63,34,7,0,12
