area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",047014001,33,18,3,55,7,1,8,0,1,0,0,0,1,1
047034002,ROI small area,"Cork, Cloyne and Ross",047034002,18,30,3,44,2,1,7,2,2,2,0,0,0,4
047056001,ROI small area,"Cork, Cloyne and Ross",047056001,28,22,4,51,3,0,7,2,1,1,0,1,2,3
047300001,ROI small area,"Cork, Cloyne and Ross",047300001,20,25,3,36,3,1,3,1,2,0,1,0,4,0
067162001,ROI small area,"Tuam, Limerick and Killaloe",067162001,19,10,1,13,1,1,0,1,3,0,1,0,0,2
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",067078001/067078002,14,15,4,12,3,0,4,0,3,0,0,3,6,0
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",157041002/157041004/157041003/157041001/157129002/157129001,12,9,1,18,0,0,4,0,1,0,0,1,2,1
067069001,ROI small area,"Tuam, Limerick and Killaloe",067069001,24,24,1,31,2,1,2,0,0,1,1,1,2,0
157128002,ROI small area,"Tuam, Limerick and Killaloe",157128002,15,12,2,9,1,0,1,1,0,0,0,1,1,3
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",157077001/157077002,16,4,1,15,0,1,1,0,0,0,1,0,2,1
157050001,ROI small area,"Tuam, Limerick and Killaloe",157050001,22,16,0,16,3,2,5,1,2,0,0,1,0,3
157004001,ROI small area,"Tuam, Limerick and Killaloe",157004001,12,13,4,11,2,0,2,0,2,0,0,0,2,0
157060003,ROI small area,"Tuam, Limerick and Killaloe",157060003,16,11,1,17,3,2,1,1,0,0,1,1,2,2
157100002,ROI small area,"Tuam, Limerick and Killaloe",157100002,15,26,9,52,2,1,7,0,4,0,1,3,1,1
157083001,ROI small area,"Tuam, Limerick and Killaloe",157083001,26,29,0,25,3,3,9,1,3,0,1,0,3,1
067069002,ROI small area,"Tuam, Limerick and Killaloe",067069002,19,13,3,17,2,0,3,0,1,0,1,0,2,1
157029001,ROI small area,"Tuam, Limerick and Killaloe",157029001,14,18,3,27,5,2,7,1,2,1,1,0,2,0
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",157007001/157007005,11,10,0,17,0,2,8,0,2,0,0,1,1,2
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",157024001/157024004,16,11,2,17,2,1,5,0,1,0,0,1,3,0
157040001,ROI small area,"Tuam, Limerick and Killaloe",157040001,10,8,1,8,1,0,1,0,0,0,0,0,4,0
157114001,ROI small area,"Tuam, Limerick and Killaloe",157114001,17,11,0,12,1,2,3,0,0,0,0,0,2,1
157071001,ROI small area,"Tuam, Limerick and Killaloe",157071001,24,18,2,22,2,2,3,0,1,0,0,1,2,2
157080001,ROI small area,"Tuam, Limerick and Killaloe",157080001,24,23,3,20,3,1,3,1,1,0,0,1,2,0
157032001,ROI small area,"Tuam, Limerick and Killaloe",157032001,16,9,0,11,1,0,3,0,1,0,0,0,1,2
157034001/157034002,ROI small area,"Tuam, Limerick and Killaloe",157034001/157034002,12,20,2,12,1,1,3,0,3,0,0,1,3,0
157082001/157136001,ROI small area,"Tuam, Limerick and Killaloe",157082001/157136001,14,9,0,9,1,0,1,0,1,0,0,0,2,0
077154001/077154002,ROI small area,"Tuam, Limerick and Killaloe",077154001/077154002,18,10,1,20,3,0,3,1,0,0,0,2,2,1
077011001,ROI small area,"Tuam, Limerick and Killaloe",077011001,19,6,0,10,4,1,4,1,1,0,0,0,3,1
077073001/077073002,ROI small area,"Tuam, Limerick and Killaloe",077073001/077073002,18,10,2,13,1,2,3,0,1,0,1,0,0,1
047188005,ROI small area,"Cork, Cloyne and Ross",047188005,16,9,3,23,1,3,7,1,0,0,1,1,2,1
047004002/047004006,ROI small area,"Cork, Cloyne and Ross",047004002/047004006,26,11,4,17,3,1,5,1,0,0,1,0,1,3
047002001/047002006,ROI small area,"Cork, Cloyne and Ross",047002001/047002006,16,12,2,18,2,1,3,0,2,0,0,0,1,1
