area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
N20002055,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002071,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002072,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002073,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002074,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002075,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002076,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002077,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002078,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002079,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
N20002080,NI data zone,"Kilmore, Elphin and Ardagh",NA,NA,NA,NA,NA
047014001,ROI small area,"Cork, Cloyne and Ross",047014001,301,12,51,17
047034002,ROI small area,"Cork, Cloyne and Ross",047034002,268,24,33,24
047056001,ROI small area,"Cork, Cloyne and Ross",047056001,239,32,67,14
047300001,ROI small area,"Cork, Cloyne and Ross",047300001,196,37,36,4
067162001,ROI small area,"Tuam, Limerick and Killaloe",067162001,101,15,9,7
067078001/067078002,ROI small area,"Tuam, Limerick and Killaloe",067078001/067078002,179,12,71,10
157041002/157041004/157041003/157041001/157129002/157129001,ROI small area,"Tuam, Limerick and Killaloe",157041002/157041004/157041003/157041001/157129002/157129001,123,14,19,3
067069001,ROI small area,"Tuam, Limerick and Killaloe",067069001,199,11,23,3
157128002,ROI small area,"Tuam, Limerick and Killaloe",157128002,90,0,11,3
157077001/157077002,ROI small area,"Tuam, Limerick and Killaloe",157077001/157077002,92,9,4,7
157050001,ROI small area,"Tuam, Limerick and Killaloe",157050001,157,10,24,3
157004001,ROI small area,"Tuam, Limerick and Killaloe",157004001,85,6,17,2
157060003,ROI small area,"Tuam, Limerick and Killaloe",157060003,135,2,15,3
157100002,ROI small area,"Tuam, Limerick and Killaloe",157100002,298,26,46,8
157083001,ROI small area,"Tuam, Limerick and Killaloe",157083001,212,9,28,8
067069002,ROI small area,"Tuam, Limerick and Killaloe",067069002,127,6,11,5
157029001,ROI small area,"Tuam, Limerick and Killaloe",157029001,192,9,22,15
157007001/157007005,ROI small area,"Tuam, Limerick and Killaloe",157007001/157007005,126,1,3,12
157024001/157024004,ROI small area,"Tuam, Limerick and Killaloe",157024001/157024004,148,4,15,3
157040001,ROI small area,"Tuam, Limerick and Killaloe",157040001,69,0,2,0
157114001,ROI small area,"Tuam, Limerick and Killaloe",157114001,104,1,4,5
157071001,ROI small area,"Tuam, Limerick and Killaloe",157071001,170,7,18,7
157080001,ROI small area,"Tuam, Limerick and Killaloe",157080001,184,12,4,9
157032001,ROI small area,"Tuam, Limerick and Killaloe",157032001,84,4,4,7
157034001/157034002,ROI small area,"Tuam, Limerick and Killaloe",157034001/157034002,137,2,7,4
157082001/157136001,ROI small area,"Tuam, Limerick and Killaloe",157082001/157136001,79,1,3,4
077154001/077154002,ROI small area,"Tuam, Limerick and Killaloe",077154001/077154002,140,3,28,4
077011001,ROI small area,"Tuam, Limerick and Killaloe",077011001,88,8,15,10
077073001/077073002,ROI small area,"Tuam, Limerick and Killaloe",077073001/077073002,90,3,22,10
047188005,ROI small area,"Cork, Cloyne and Ross",047188005,165,3,16,2
047004002/047004006,ROI small area,"Cork, Cloyne and Ross",047004002/047004006,93,16,43,22
047002001/047002006,ROI small area,"Cork, Cloyne and Ross",047002001/047002006,115,6,25,3
047041005/047041001/047041004/047041002/047041003/047319001,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047251001,ROI small area,"Cork, Cloyne and Ross",047251001,152,18,65,5
047181001,ROI small area,"Cork, Cloyne and Ross",047181001,156,15,44,11
047177001,ROI small area,"Cork, Cloyne and Ross",047177001,203,30,51,7
077042002/077042003/077042004,ROI small area,"Tuam, Limerick and Killaloe",077042002/077042003/077042004,103,18,26,4
077042001,ROI small area,"Tuam, Limerick and Killaloe",077042001,123,12,59,5
077156001/077156002/077156003,ROI small area,"Tuam, Limerick and Killaloe",077156001/077156002/077156003,141,19,69,10
077009001,ROI small area,"Tuam, Limerick and Killaloe",077009001,174,4,18,0
077037001/077133001,ROI small area,"Tuam, Limerick and Killaloe",077037001/077133001,175,8,29,13
077064001,ROI small area,"Tuam, Limerick and Killaloe",077064001,154,13,19,12
077153005,ROI small area,"Tuam, Limerick and Killaloe",077153005,106,12,47,16
077026001,ROI small area,"Cork, Cloyne and Ross",077026001,189,9,54,15
077130001,ROI small area,"Tuam, Limerick and Killaloe",077130001,118,8,9,1
077084001,ROI small area,"Tuam, Limerick and Killaloe",077084001,100,7,34,11
077149001/077149002,ROI small area,"Tuam, Limerick and Killaloe",077149001/077149002,131,6,30,5
077038001,ROI small area,"Tuam, Limerick and Killaloe",077038001,164,3,40,5
077097001,ROI small area,"Tuam, Limerick and Killaloe",077097001,171,10,18,18
077141001,ROI small area,"Tuam, Limerick and Killaloe",077141001,168,17,45,20
077077001,ROI small area,"Tuam, Limerick and Killaloe",077077001,207,10,18,6
077077002,ROI small area,"Tuam, Limerick and Killaloe",077077002,150,1,32,2
077016001,ROI small area,"Tuam, Limerick and Killaloe",077016001,96,6,22,12
077062001,ROI small area,"Tuam, Limerick and Killaloe",077062001,132,18,45,6
077095001,ROI small area,"Tuam, Limerick and Killaloe",077095001,223,3,33,5
077056001,ROI small area,"Tuam, Limerick and Killaloe",077056001,275,9,18,8
077110001,ROI small area,"Tuam, Limerick and Killaloe",077110001,275,6,16,7
047167001,ROI small area,"Cork, Cloyne and Ross",047167001,179,9,28,6
077052001,ROI small area,"Tuam, Limerick and Killaloe",077052001,90,7,21,7
047272001,ROI small area,"Cork, Cloyne and Ross",047272001,247,11,46,9
047182002,ROI small area,"Cork, Cloyne and Ross",047182002,257,2,43,7
047182001,ROI small area,"Cork, Cloyne and Ross",047182001,195,9,20,3
047193002,ROI small area,"Cork, Cloyne and Ross",047193002,240,2,43,4
047062002,ROI small area,"Cork, Cloyne and Ross",047062002,216,1,17,6
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,259,3,13,4
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,298,23,10,13
